                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6494,                 3.5548,                 1.4904,                0.00653,                 0.5125,                0.13521,                0.09401,                  2.022,                 4.3047,                 1.6507,               0.000325,               0.000325,               0.000325
                      2,                 1.4866,                 2.5036,                 1.3877,                0.00617,                0.48064,                0.17938,                0.14102,                 2.0245,                 4.0945,                 1.7741,              0.0006461,              0.0006461,              0.0006461
                      3,                 1.5702,                 2.2793,                 1.4328,                0.70654,                0.11606,                0.17078,                0.09587,                 2.1027,                 3.6228,                 1.7813,              0.0009505,              0.0009505,              0.0009505
                      4,                 1.5757,                  2.353,                  1.493,                0.71927,                0.22982,                0.23906,                0.14356,                 2.1214,                 3.1517,                 1.8772,              0.0011572,              0.0011572,              0.0011572
                      5,                 1.6068,                  2.159,                 1.4948,                0.59851,                0.32656,                0.29446,                0.19164,                 2.0715,                 2.8262,                 1.7805,              0.0011263,              0.0011263,              0.0011263
                      6,                 1.5361,                 1.9822,                 1.4468,                0.53415,                0.31898,                0.19944,                0.11765,                  2.149,                 3.1994,                 1.8624,              0.0010953,              0.0010953,              0.0010953
                      7,                 1.5772,                 1.9306,                 1.4698,                0.71568,                0.23873,                0.37218,                0.23843,                 2.1865,                 3.1498,                  1.883,              0.0010644,              0.0010644,              0.0010644
                      8,                 1.4861,                 1.8316,                 1.3858,                0.59352,                0.38959,                0.44602,                0.25789,                 2.1667,                 3.0248,                 1.9497,              0.0010334,              0.0010334,              0.0010334
                      9,                 1.5412,                 1.7851,                 1.4181,                0.69863,                0.34264,                0.38562,                0.25094,                 1.9905,                 2.7173,                 1.7685,              0.0010025,              0.0010025,              0.0010025
                     10,                 1.4842,                 1.7706,                 1.4172,                0.84953,                0.38261,                0.51681,                  0.337,                 2.0392,                 2.5977,                 1.7462,             0.00097156,             0.00097156,             0.00097156
                     11,                 1.4069,                 1.5883,                  1.357,                0.82457,                 0.3907,                0.49446,                0.31331,                 1.9252,                 2.2833,                 1.6421,             0.00094062,             0.00094062,             0.00094062
                     12,                 1.4353,                 1.5502,                 1.3591,                0.81135,                0.36373,                0.42909,                0.28196,                 2.0072,                 2.3222,                 1.7315,             0.00090969,             0.00090969,             0.00090969
                     13,                 1.4386,                 1.5234,                 1.3536,                0.88241,                0.38826,                0.47961,                  0.284,                 1.9197,                   2.09,                 1.6605,             0.00087875,             0.00087875,             0.00087875
                     14,                 1.3622,                 1.5122,                 1.3048,                0.53054,                0.34484,                0.43674,                0.30253,                 2.0026,                 2.3645,                 1.6853,             0.00084781,             0.00084781,             0.00084781
                     15,                 1.4265,                 1.5587,                 1.3203,                 0.7673,                0.35169,                0.40519,                0.27795,                 2.0139,                 2.5274,                 1.7043,             0.00081688,             0.00081688,             0.00081688
